"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","popularity","longitude","latitude","eventlength"
39,"I Love My Laundry","breakfast","Cafe",1,"7","19","7","19","7","19",1,"18.4240553","-33.9248685",1
40,"Sotano","breakfast","European",2,"7","23","7","23","7","23",2,"18.4240553","-33.9248685",1.5
41,"Basic Bistro","breakfast","Cafe",2,"7.5","22","7.5","22","7.5","22",1,"18.4240553","-33.9248685",1.5
42,"Origin Coffee Roasting","breakfast","Cafe",1,"7","17","7","17","7","17",2,"18.4240553","-33.9248685",1
43,"Mugg & Bean","breakfast","Cafe",3,"8","22","8","22","8","22",1,"-82.9168402","41.3298712",2
44,"Tribakery","breakfast","Cafe",1,"8","22","8","22","8","22",1,"18.4240553","-33.9248685",1
45,"tashas","breakfast","Cafe",2," 7","21"," 7","21"," 7","21",2,"18.4240553","-33.9248685",1.5
46,"Savour - African Pride 15 on Orange Hotel","breakfast","Asian",3,"6.5","10","6.5","10","6.5","10",1,"18.4240553","-33.9248685",2
47,"Brass Bell","breakfast","Seafood",3,"8","24","8","24","8","24",3,"18.4240553","-33.9248685",2
48,"Fire & Ice! Restaurant","breakfast","Seafood",3,"6","23","6","23","6","23",2,"-98.4046884","30.5374708",2
49,"Saints Burger Joint","breakfast","Burger",2,"8.5","23","8.5","23","8.5","23",2,"18.4240553","-33.9248685",1.5
50,"Manna Epicure","breakfast","Mediterranean",2,"8","15","8","15","8","15",2,"18.4240553","-33.9248685",1.5
51,"NOMAD Bistro Fusion","lunch","International",1,"8","16","8","16","8","16",1,"18.4240553","-33.9248685",1
52,"Jarryds","lunch","Cafe",2,"7",NA,"7",NA,"7",NA,3,"18.4240553","-33.9248685",1.5
53,"The Village Idiot","lunch","South African",2,"15","2","15","2","15","2",2,"18.4240553","-33.9248685",1.5
54,"Kloof Street House","lunch","Mediterranean",3,"17","22","17","22","17","22",3,"18.4240553","-33.9248685",2
55,"Bacon on Bree","lunch","Cafe",1,"7","16","7","16","7","16",2,"18.4240553","-33.9248685",1
56,"The Larder","lunch","Cafe",1,"7","17","7","17","7","17",2,"18.4240553","-33.9248685",1
57,"Company's Garden","lunch","Cafe",1,"7","18","7","18","7","18",2,"18.416663","-33.9274451",1
58,"Bocca","lunch","Pizza",2,"12","22","12","22","12","22",2,"18.4240553","-33.9248685",1.5
59,"Clarke's Bar & Dining Room","lunch","European",1,"7","17","7","17","7","17",3,"-123.7706767","45.4389951",1
60,"Jason","lunch","Cafe",1,NA,NA,NA,NA,NA,NA,3,"18.5998912","-34.0349818",1
61,"Royale Eatery","lunch","Burger",3,"12","23","12","23","12","23",3,"18.4240553","-33.9248685",2
